"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-03-15 09:38:43","REEFBTC","BUY","9.300E-7","149.0000000000REEF","0.00013857BTC","0.0000229800BNB"
"2021-03-15 09:31:50","REEFBTC","SELL","9.200E-7","140.0000000000REEF","0.00012880BTC","0.0000216900BNB"
"2021-03-15 06:29:01","NULSBTC","BUY","0.0000149500","10.0000000000NULS","0.00014950BTC","0.0000254600BNB"
"2021-03-14 20:33:46","OCEANUSDT","SELL","1.5000000000","8.5100000000OCEAN","12.76500000USDT","0.0000358100BNB"
"2021-03-14 19:34:15","TROYBTC","SELL","2.600E-7","508.0000000000TROY","0.00013208BTC","0.0000218300BNB"
"2021-03-14 13:54:11","KNCBTC","BUY","0.0000362500","4.0000000000KNC","0.00014500BTC","0.0000243200BNB"
"2021-03-14 12:06:49","ATOMUSDT","BUY","18.8440000000","0.7610000000ATOM","14.34028400USDT","0.0000396300BNB"
"2021-03-13 15:25:57","CDTBTC","SELL","6.100E-7","172.0000000000CDT","0.00010492BTC","0.0000162100BNB"
"2021-03-13 13:59:59","BEAMBTC","SELL","0.0000160000","10.2600000000BEAM","0.00016416BTC","0.0000259700BNB"
"2021-03-13 11:29:03","BTCUSDT","SELL","60000.8700000000","0.0003500000BTC","21.00030450USDT","0.0000561600BNB"
"2021-03-12 16:09:34","AKROBTC","SELL","9.900E-7","166.0000000000AKRO","0.00016434BTC","0.0000251000BNB"
"2021-03-12 16:00:35","FETUSDT","SELL","0.4900000000","28.0000000000FET","13.72000000USDT","0.0000376500BNB"
"2021-03-12 13:02:58","OCEANUSDT","BUY","1.3993000000","8.5100000000OCEAN","11.90804300USDT","0.0000328900BNB"
"2021-03-12 09:18:37","TROYBTC","BUY","2.200E-7","508.0000000000TROY","0.00011176BTC","0.0000168300BNB"
"2021-03-12 06:05:47","CHZUSDT","BUY","0.4268400000","27.8000000000CHZ","11.86615200USDT","0.0000318700BNB"
"2021-03-11 17:11:18","NBSBTC","SELL","5.200E-7","330.0000000000NBS","0.00017160BTC","0.0000249000BNB"
"2021-03-11 16:55:27","FETUSDT","BUY","0.4600000000","28.0000000000FET","12.88000000USDT","0.0000332100BNB"
"2021-03-11 16:16:36","CHZUSDT","SELL","0.3502700000","56.0000000000CHZ","19.61512000USDT","0.0000499000BNB"
"2021-03-11 13:47:52","ALPHAUSDT","SELL","1.7000000000","9.5000000000ALPHA","16.15000000USDT","0.0000407100BNB"
"2021-03-11 12:41:07","BLZBTC","SELL","0.0000090000","14.0000000000BLZ","0.00012600BTC","0.0000193800BNB"
"2021-03-11 12:40:59","ALPHAUSDT","BUY","1.6410000000","9.5000000000ALPHA","15.58950000USDT","0.0000417800BNB"
"2021-03-11 09:02:43","CHZUSDT","BUY","0.2615000000","56.0000000000CHZ","14.64400000USDT","0.0000398600BNB"
"2021-03-11 08:55:57","THETAUSDT","BUY","6.5070000000","2.0000000000THETA","13.01400000USDT","0.0000354600BNB"
"2021-03-11 08:53:12","SFPUSDT","BUY","1.9375000000","5.6700000000SFP","10.98562500USDT","0.0000298900BNB"
"2021-03-11 08:50:56","CDTBTC","BUY","4.500E-7","345.0000000000CDT","0.00015525BTC","0.0000235400BNB"
"2021-03-11 08:38:42","1INCHUSDT","BUY","3.9238000000","2.80000000001INCH","10.98664000USDT","0.0000299000BNB"
"2021-03-11 07:35:13","NBSBTC","BUY","4.700E-7","330.0000000000NBS","0.00015510BTC","0.0000228900BNB"
"2021-03-11 06:19:44","LTCUSDT","SELL","199.0000000000","0.1027000000LTC","20.43730000USDT","0.0000543500BNB"
"2021-03-11 06:12:02","LTCUSDT","BUY","197.5000000000","0.1027000000LTC","20.28325000USDT","0.0000543900BNB"
"2021-03-11 06:03:53","NBSBTC","SELL","5.000E-7","325.0000000000NBS","0.00016250BTC","0.0000237900BNB"
"2021-03-11 05:15:33","1INCHUSDT","BUY","3.9430000000","6.84000000001INCH","26.97012000USDT","0.0000716800BNB"
"2021-03-11 05:13:08","SFPUSDT","BUY","2.0178000000","17.8200000000SFP","35.95719600USDT","0.0000956400BNB"
"2021-03-11 02:38:58","HNTUSDT","SELL","7.2600000000","1.8720000000HNT","13.59072000USDT","0.0000360600BNB"
"2021-03-11 02:10:15","HNTUSDT","SELL","7.0000000000","1.8710000000HNT","13.09700000USDT","0.0000348800BNB"
"2021-03-10 22:56:49","IRISBTC","SELL","0.0000030000","49.0000000000IRIS","0.00014700BTC","0.0000226200BNB"
"2021-03-10 13:55:13","BEAMBTC","BUY","0.0000134000","10.2600000000BEAM","0.00013748BTC","0.0000204400BNB"
"2021-03-10 12:36:08","FETUSDT","SELL","0.4800000000","23.9000000000FET","11.47200000USDT","0.0000303900BNB"
"2021-03-10 12:36:08","FETUSDT","SELL","0.4800000000","61.7000000000FET","29.61600000USDT","0.0000784800BNB"
"2021-03-10 11:46:34","FETUSDT","BUY","0.4600000000","23.9000000000FET","10.99400000USDT","0.0000296400BNB"
"2021-03-10 11:37:50","FETUSDT","BUY","0.4700000000","61.7000000000FET","28.99900000USDT","0.0000787300BNB"
"2021-03-10 11:22:15","CHZUSDT","SELL","0.2510000000","115.0000000000CHZ","28.86500000USDT","0.0000778200BNB"
"2021-03-10 11:21:11","CHZUSDT","BUY","0.2500000000","115.0000000000CHZ","28.75000000USDT","0.0000773900BNB"
"2021-03-10 11:19:24","CHZUSDT","SELL","0.2500000000","116.0000000000CHZ","29.00000000USDT","0.0000777300BNB"
"2021-03-10 11:16:49","CHZUSDT","SELL","0.2491910000","44.0000000000CHZ","10.96440400USDT","0.0000294000BNB"
"2021-03-10 10:45:30","CHZUSDT","BUY","0.2479170000","44.0000000000CHZ","10.90834800USDT","0.0000293300BNB"
"2021-03-10 10:42:26","CHZUSDT","BUY","0.2480000000","116.0000000000CHZ","28.76800000USDT","0.0000774300BNB"
"2021-03-10 07:29:39","PHBBTC","SELL","1.800E-7","750.0000000000PHB","0.00013500BTC","0.0000199300BNB"
"2021-03-10 07:25:17","BRDBTC","BUY","0.0000044700","23.0000000000BRD","0.00010281BTC","0.0000146600BNB"
"2021-03-10 06:31:13","BAKEBNB","SELL","0.0053000000","11.0000000000BAKE","0.05830000BNB","0.0000437200BNB"
"2021-03-10 06:27:35","BAKEBNB","BUY","0.0051930000","11.0000000000BAKE","0.05712300BNB","0.0000431200BNB"
"2021-03-09 22:11:43","BLZBTC","SELL","0.0000070000","15.0000000000BLZ","0.00010500BTC","0.0000154800BNB"
"2021-03-09 17:58:34","SKLUSDT","SELL","0.4500000000","34.9000000000SKL","15.70500000USDT","0.0000432300BNB"
"2021-03-08 06:24:22","CAKEBTC","BUY","0.0002295000","0.5200000000CAKE","0.00011934BTC","0.0000191200BNB"
