"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-07-13 04:45:15","AERGOBTC","BUY","0.0000049000","32.0000000000AERGO","0.00015680BTC","0.0320000000AERGO"
"2021-07-13 04:39:25","TWTBTC","SELL","0.0000096100","19.0000000000TWT","0.00018259BTC","0.0000001800BTC"
"2021-07-02 12:26:16","LOOMBTC","SELL","0.0000025000","53.0000000000LOOM","0.00013250BTC","0.0000001300BTC"
"2021-06-26 09:53:35","MATICUSDT","SELL","1.0461200000","10.1000000000MATIC","10.56581200USDT","0.0105658100USDT"
"2021-06-26 09:41:25","ICPUSDT","SELL","29.3200000000","0.3500000000ICP","10.26200000USDT","0.0102620000USDT"
"2021-06-21 03:25:51","MATICBUSD","BUY","1.3580000000","10.1000000000MATIC","13.71580000BUSD","0.0000000000BNB"
"2021-06-21 02:43:51","TWTBTC","BUY","0.0000092600","20.0000000000TWT","0.00018520BTC","0.0200000000TWT"
"2021-06-12 01:30:30","ICPUSDT","BUY","55.0000000000","0.2100000000ICP","11.55000000USDT","0.0002100000ICP"
"2021-06-10 11:37:50","ICPUSDT","BUY","75.0000000000","0.1500000000ICP","11.25000000USDT","0.0001500000ICP"
"2021-06-09 15:49:00","MATICUSDT","SELL","1.5100000000","8.1000000000MATIC","12.23100000USDT","0.0000250100BNB"
"2021-06-09 09:14:23","BTCUSDT","SELL","34050.0500000000","0.0003090000BTC","10.52146545USDT","0.0000225400BNB"
"2021-06-09 02:37:04","LOOMBTC","BUY","0.0000019000","53.0000000000LOOM","0.00010070BTC","0.0000073200BNB"
"2021-06-08 13:23:56","MATICUSDT","BUY","1.4000000000","8.1000000000MATIC","11.34000000USDT","0.0000246900BNB"
"2021-06-08 02:21:59","BTCBUSD","BUY","33600.0000000000","0.0004100000BTC","13.77600000BUSD","0.0000000000BNB"
"2021-06-07 14:53:11","BNBBUSD","SELL","395.8700000000","0.0696000000BNB","27.55255200BUSD","0.0000000000BNB"
"2021-06-07 14:42:02","MATICUSDT","SELL","1.6367900000","7.0000000000MATIC","11.45753000USDT","0.0114575300USDT"
"2021-06-05 21:27:24","MATICUSDT","BUY","1.5000000000","7.1000000000MATIC","10.65000000USDT","0.0071000000MATIC"
"2021-06-04 01:16:59","TLMUSDT","BUY","0.2000000000","50.0000000000TLM","10.00000000USDT","0.0500000000TLM"
"2021-06-04 01:11:12","DEGOUSDT","BUY","8.0000000000","1.5080000000DEGO","12.06400000USDT","0.0015080000DEGO"
"2021-06-03 13:41:40","ALICEUSDT","BUY","7.0300000000","1.4300000000ALICE","10.05290000USDT","0.0014300000ALICE"
"2021-06-01 06:01:05","MDXUSDT","BUY","2.2000000000","10.0000000000MDX","22.00000000USDT","0.0100000000MDX"
